title,url,discounted_price,original_price
10 x Vandy Vape A1 Superfine MTL Fused 1.51Ω Clapton Coil 32ga*2+38ga,https://www.cigabuy.com/10-x-vandy-vape-a1-superfine-mtl-fused-151Ω-clapton-coil-32ga238ga-p-16399.html,,
Authentic Joyetech Riftcore Duo RTA 3.5ML - Blue+Black,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-blueblack-p-21262.html,$8.76,$12.16 
Authentic SMOK Novo 4 Pod Kit - Black Stabilizing Wood,https://www.cigabuy.com/authentic-smok-novo-4-pod-kit-black-stabilizing-wood-p-20730.html,$21.48,$24.37 
Authentic Eleaf iStick Power 2 80W MOD - Light Brown,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-light-brown-p-20760.html,$31.93,$32.93 
50pcs SHOELACE Vape Cotton for RBA Atomizer DIY Building 10pcs/pack,https://www.cigabuy.com/50pcs-shoelace-vape-cotton-for-rba-atomizer-diy-building-10pcspack-p-21267.html,$5.44,$7.37 
Authentic SMOK TFV16 9ML Sub-Ohm Tank Atomizer - Black Plating,https://www.cigabuy.com/authentic-smok-tfv16-9ml-sub-ohm-tank-atomizer-black-plating-p-15362.html,$22.15,$25.01 
Authentic Vandyvape Jackaroo Pod Kit - Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-black-p-20641.html,$25.45,$35.92 
Authentic Uwell Caliburn KOKO Prime Kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-grey-p-20248.html,$21.12,$34.07 
Authentic Eleaf iStick Power 2 80W MOD - Blue,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-blue-p-20758.html,$31.93,$32.93 
"0,99€ Gift Box for Mother's Day",https://www.cigabuy.com/099€-gift-box-for-mothers-day-p-21124.html,,
Authentic Uwell Tripod PCC Pod Kit 370mAh + 1000mAh - Metallic Green,https://www.cigabuy.com/authentic-uwell-tripod-pcc-pod-kit-370mah-1000mah-metallic-green-p-20358.html,$22.86,$38.08 
10pcs Snore Stopper Silicone Nose Clip Sleeping Device Nasal Dilators,https://www.cigabuy.com/10pcs-snore-stopper-silicone-nose-clip-sleeping-device-nasal-dilators-p-18895.html,,
Authentic FreeMax Marvos T 80W Pod Kit - Blue,https://www.cigabuy.com/authentic-freemax-marvos-t-80w-pod-kit-blue-p-21235.html,,
Authentic Eleaf iStick Power 2 80W MOD - Dark Brown,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-dark-brown-p-20759.html,$29.55,$32.93 
Authentic Wotofo SMRT Pod Kit - Black,https://www.cigabuy.com/authentic-wotofo-smrt-pod-kit-black-p-20629.html,$21.41,$39.87 
Authentic Uwell Caliburn G POD kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-blue-p-19936.html,$21.04,$32.51 
Authentic Uwell Caliburn KOKO Prime Kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-blue-p-20247.html,$21.27,$34.07 
Authentic IJOY Captain AirGo Pod Kit - Black,https://www.cigabuy.com/authentic-ijoy-captain-airgo-pod-kit-black-p-21561.html,,
Authentic Demon Killer 8 in 1 Wire for RBA Atomizer - 8 Specs,https://www.cigabuy.com/authentic-demon-killer-8-in-1-wire-for-rba-atomizer-8-specs-p-11052.html,,
Authentic Uwell Caliburn G POD kit - Green,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-green-p-19939.html,$22.03,$32.51 
Authentic Vandyvape Jackaroo Pod Kit - Obsidian Black,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-obsidian-black-p-20638.html,$26.16,$37.91 
Authentic Vandyvape Jackaroo Pod Kit - Black Warrior,https://www.cigabuy.com/authentic-vandyvape-jackaroo-pod-kit-black-warrior-p-20639.html,$24.71,$35.92 
Authentic VOOPOO V.SUIT Pod System Kit - White,https://www.cigabuy.com/authentic-voopoo-vsuit-pod-system-kit-white-p-19837.html,$22.86,$25.44 
COOLBOSS Sports Digital Watch Wristwatch With Rubber Band For Kids,https://www.cigabuy.com/coolboss-sports-digital-watch-wristwatch-with-rubber-band-for-kids-p-14293.html,$1.19,$2.15 
Authentic Geekvape Obelisk 120 FC Z Zeus Tank Kit without Fast Charger - SS,https://www.cigabuy.com/authentic-geekvape-obelisk-120-fc-z-zeus-tank-kit-without-fast-charger-ss-p-21090.html,$61.68,$99.70 
Authentic Geekvape Aegis Hero Pod Mod Kit - Black,https://www.cigabuy.com/authentic-geekvape-aegis-hero-pod-mod-kit-black-p-19995.html,$27.27,$41.18 
10pcs Authentic VOOPOO PnP-TM2 Coil 0.8ohm 5pcs/pack,https://www.cigabuy.com/10pcs-authentic-voopoo-pnp-tm2-coil-08ohm-5pcspack-p-21690.html,$18.59,$20.01 
4pcs 100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,https://www.cigabuy.com/4pcs-100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-21361.html,$10.04,$14.66 
12pcs Uwell Crown Pod 1.0Ω + 1pcs Free Crown Pod 1250mAh Kit Black,https://www.cigabuy.com/12pcs-uwell-crown-pod-10Ω-1pcs-free-crown-pod-1250mah-kit-black-p-21162.html,$41.72,$52.59 
Authentic Uwell Tripod PCC Pod Kit 370mAh + 1000mAh - Black&Gold,https://www.cigabuy.com/authentic-uwell-tripod-pcc-pod-kit-370mah-1000mah-blackgold-p-20357.html,$23.15,$38.08 
Authentic VOOPOO Argus Air Pod Kit - Classic Black,https://www.cigabuy.com/authentic-voopoo-argus-air-pod-kit-classic-black-p-19269.html,$19.85,$22.98 
50pcs Authentic VandyVape Vape Cotton Laces 10pcs/bag,https://www.cigabuy.com/50pcs-authentic-vandyvape-vape-cotton-laces-10pcsbag-p-21217.html,$10.46,$12.64 
